연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-사서자격증 소지자,사서자격증 미소지자,비정규직-사서자격증 소지자,사서자격증 미소지자,합계-사서자격증 소지자,사서자격증 미소지자,계,사서자격증 보유현황-정규직-1급 정사서,2급 정사서,준사서,합계,비정규직-1급 정사서,2급 정사서,준사서,합계,직원교육현황-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(전년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2016,26,경남도립거창대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,28,1,1,0,0,1,889,1.7000000476837158,1,0,889,1.100000023841858,28,1,1,14.0
2016,27,경남도립남해대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,20,1,1,0,0,1,848,1.7999999523162842,1,0,848,1.2000000476837158,20,1,1,10.0
2016,28,경남정보대학교,전문대학,사립,부산,A그룹,2,1,0,0,2,1,3,1,1,0,2,0,0,0,0,69,3,2,1,0,0,6853,0.4000000059604645,2,0,6853,0.30000001192092896,69,3,0,23.0
2016,29,경동대학교,대학,사립,강원,B그룹,5,2,0,0,5,2,7,0,4,1,5,0,0,0,0,135,32,5,2,0,0,7240,0.8999999761581421,5,0,7240,0.699999988079071,135,7,0,19.299999237060547
2016,30,경민대학교,전문대학,사립,경기,B그룹,3,0,0,1,3,1,4,1,2,0,3,0,0,0,0,49,5,3,0,0,1,4661,0.800000011920929,3,0,4661,0.6000000238418579,49,3,1,12.300000190734863
2016,31,경복대학교,전문대학,사립,경기,A그룹,1,0,1,0,2,0,2,0,1,0,1,0,0,1,1,59,9,1,0,1,0,6350,0.30000001192092896,1,1,6350,0.30000001192092896,59,1,1,29.5
2016,32,경북과학대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4,1,1,0,0,0,1902,0.5,1,0,1902,0.5,4,1,0,4.0
2016,33,경북대학교,대학,국립,대구,A그룹,41,6,9,1,50,7,57,13,24,4,41,1,7,1,9,4068,450,41,6,9,1,30296,1.7999999523162842,41,9,30296,1.7000000476837158,4068,47,10,71.4000015258789
2016,34,경북보건대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,28,1,1,0,0,0,1300,0.800000011920929,1,0,1300,0.800000011920929,28,1,0,28.0
2016,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2016,36,경북전문대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,73,4,1,1,0,0,2562,0.699999988079071,1,0,2562,0.4000000059604645,73,2,0,36.5
2016,37,경상국립대학교,대학,국립,경남,A그룹,26,7,5,0,31,7,38,7,18,1,26,1,3,1,5,2016,384,26,7,5,0,22867,1.600000023841858,26,5,22867,1.399999976158142,2016,33,5,53.099998474121094
2016,38,경성대학교,대학,사립,부산,A그룹,11,3,1,0,12,3,15,3,8,0,11,0,1,0,1,618,222,11,3,1,0,13468,1.100000023841858,11,1,13468,0.8999999761581421,618,14,1,41.20000076293945
2016,39,경안대학원대학교,대학원대학,사립,경북,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,11.0,0,0,73,0.0,0,1,0,0.0
2016,40,경운대학교,대학,사립,경북,C그룹,3,2,0,1,3,3,6,0,3,0,3,0,0,0,0,47,8,3,2,0,1,5066,1.0,3,0,5066,0.6000000238418579,47,5,1,7.800000190734863
2016,41,경인교육대학교,대학,국립,인천,C그룹,6,1,1,0,7,1,8,1,4,1,6,0,1,0,1,803,19,6,1,1,0,4246,1.7999999523162842,6,1,4246,1.600000023841858,803,7,1,100.4000015258789
2016,42,경인여자대학교,전문대학,사립,인천,B그룹,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,24,3,1,0,1,0,4894,0.4000000059604645,1,1,4894,0.4000000059604645,24,1,1,12.0
2016,43,경일대학교,대학,사립,경북,B그룹,5,0,5,0,10,0,10,0,5,0,5,0,5,0,5,121,16,5,0,5,0,7373,1.2000000476837158,5,5,7373,1.399999976158142,121,5,5,12.100000381469727
2016,44,경찰대학,기타,기타,충남,-,4,2,0,0,4,2,6,1,3,0,4,0,0,0,0,750,12,4,2,0,0,0,0.0,4,0,0,0.0,750,6,0,125.0
2016,45,경희대학교,대학,사립,서울,A그룹,27,3,25,1,52,4,56,11,15,1,27,0,23,2,25,1467,342,27,3,25,1,33327,1.5,27,25,33327,1.600000023841858,1467,30,26,26.200000762939453
2016,46,계명대학교,대학,사립,대구,A그룹,22,1,0,13,22,14,36,9,11,2,22,0,0,0,0,1311,271,22,1,0,13,24537,1.2000000476837158,22,0,24537,0.8999999761581421,1311,23,13,36.400001525878906
2016,47,계명문화대학교,전문대학,사립,대구,A그룹,2,0,1,1,3,1,4,0,0,2,2,0,1,0,1,124,9,2,0,1,1,5179,0.6000000238418579,2,1,5179,0.6000000238418579,124,2,2,31.0
2016,48,계약신학대학원대학교,대학원대학,사립,경기,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,22,1,0,0,0,68,14.699999809265137,1,0,68,14.699999809265137,0,1,0,0.0
2016,49,계원예술대학교,전문대학,사립,경기,B그룹,1,1,1,0,2,1,3,0,1,0,1,0,0,1,1,367,34,1,1,1,0,2856,0.8999999761581421,1,1,2856,0.699999988079071,367,2,1,122.30000305175781
2016,50,고려대학교,대학,사립,서울,A그룹,30,3,15,4,45,7,52,14,15,1,30,0,14,1,15,1241,187,30,3,15,4,29540,1.600000023841858,30,15,29540,1.5,1241,33,19,23.899999618530273
2016,51,고려대학교(세종),대학,사립,세종,B그룹,3,1,4,0,7,1,8,0,3,0,3,0,4,0,4,274,18,3,1,4,0,7768,0.8999999761581421,3,4,7768,0.8999999761581421,274,4,4,34.29999923706055
2016,52,고려사이버대학교,대학,사립,서울,A그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,9671,0.20000000298023224,1,0,9671,0.10000000149011612,0,1,1,0.0
2016,53,고신대학교,대학,사립,부산,C그룹,6,0,0,1,6,1,7,0,4,2,6,0,0,0,0,101,23,6,0,0,1,5064,1.2999999523162842,6,0,5064,1.2000000476837158,101,6,1,14.399999618530273
2016,54,공군사관학교,기타,기타,충북,-,6,0,1,0,7,0,7,3,3,0,6,0,1,0,1,378,10,6,0,1,0,0,0.0,6,1,0,0.0,378,6,1,54.0
2016,55,공주교육대학교,대학,국립,충남,C그룹,5,2,0,0,5,2,7,2,2,1,5,0,0,0,0,870,277,5,2,0,0,2024,3.299999952316284,5,0,2024,2.5,870,7,0,124.30000305175781
2016,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,28,2,0,0,0,1,1235,0.4000000059604645,0,0,1235,0.0,28,0,1,28.0
2016,57,광신대학교,대학,사립,광주,C그룹,1,2,0,0,1,2,3,0,1,0,1,0,0,0,0,8,1,1,2,0,0,949,2.700000047683716,1,0,949,1.100000023841858,8,3,0,2.700000047683716
2016,58,광양보건대학교,전문대학,사립,전남,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,20,1,1,0,0,0,1520,0.699999988079071,1,0,1520,0.699999988079071,20,1,0,20.0
2016,59,광운대학교,대학,사립,서울,B그룹,5,1,8,0,13,1,14,1,4,0,5,0,8,0,8,174,45,5,1,8,0,9807,1.2000000476837158,5,8,9807,1.2999999523162842,174,6,8,12.399999618530273
2016,60,광주가톨릭대학교,대학,사립,전남,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,35,2,2,0,0,0,106,18.899999618530273,2,0,106,18.899999618530273,35,2,0,17.5
2016,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2016,62,광주교육대학교,대학,국립,광주,C그룹,3,1,0,0,3,1,4,0,3,0,3,0,0,0,0,318,6,3,1,0,0,2190,1.7000000476837158,3,0,2190,1.399999976158142,318,4,0,79.5
2016,63,광주대학교,대학,사립,광주,B그룹,2,1,1,9,3,10,13,1,1,0,2,0,1,0,1,81,17,2,1,1,9,7747,1.0,2,1,7747,0.4000000059604645,81,3,10,6.199999809265137
2016,64,광주보건대학교,전문대학,사립,광주,B그룹,2,0,0,3,2,3,5,0,2,0,2,0,0,0,0,85,10,2,0,0,3,3968,0.8999999761581421,2,0,3968,0.5,85,2,3,17.0
2016,65,광주여자대학교,대학,사립,광주,C그룹,1,2,1,2,2,4,6,0,1,0,1,0,1,0,1,244,6,1,2,1,2,4114,1.100000023841858,1,1,4114,0.5,244,3,3,40.70000076293945
2016,66,구미대학교,전문대학,사립,경북,A그룹,1,0,1,1,2,1,3,1,0,0,1,0,1,0,1,8,4,1,0,1,1,5695,0.4000000059604645,1,1,5695,0.4000000059604645,8,1,2,2.700000047683716
2016,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,32,1,0,0,1,0,41,19.5,0,1,41,24.399999618530273,32,0,1,32.0
2016,68,국군간호사관학교,기타,기타,대전,-,1,0,1,0,2,0,2,0,1,0,1,1,0,0,1,108,6,1,0,1,0,0,0.0,1,1,0,0.0,108,1,1,54.0
2016,69,국립강릉원주대학교,대학,국립,강원,B그룹,15,1,2,1,17,2,19,3,11,1,15,0,0,2,2,1948,102,15,1,2,1,8685,2.0999999046325684,15,2,8685,2.0,1948,16,3,102.5
2016,70,국립경국대학교,대학,국립,경북,B그룹,12,0,1,1,13,1,14,3,9,0,12,0,0,1,1,1026,104,12,0,1,1,7914,1.7000000476837158,12,1,7914,1.600000023841858,1026,12,2,73.30000305175781
2016,71,국립공주대학교,대학,국립,충남,A그룹,19,2,0,0,19,2,21,8,11,0,19,0,0,0,0,2096,286,19,2,0,0,16672,1.2000000476837158,19,0,16672,1.100000023841858,2096,21,0,99.80000305175781
2016,72,국립군산대학교,대학,국립,전북,B그룹,11,1,0,2,11,3,14,3,8,0,11,0,0,0,0,1067,166,11,1,0,2,8296,1.5,11,0,8296,1.2999999523162842,1067,12,2,76.19999694824219
2016,73,국립금오공과대학교,대학,국립,경북,B그룹,5,1,2,1,7,2,9,3,2,0,5,0,2,0,2,1096,34,5,1,2,1,7131,1.100000023841858,5,2,7131,1.0,1096,6,3,121.80000305175781
2016,74,국립목포대학교,대학,국립,전남,B그룹,9,2,0,1,9,3,12,5,4,0,9,0,0,0,0,1079,149,9,2,0,1,8513,1.2999999523162842,9,0,8513,1.100000023841858,1079,11,1,89.9000015258789
2016,75,국립목포해양대학교,대학,국립,전남,C그룹,4,0,0,0,4,0,4,2,2,0,4,0,0,0,0,410,69,4,0,0,0,2748,1.5,4,0,2748,1.5,410,4,0,102.5
2016,76,국립부경대학교,대학,국립,부산,A그룹,20,0,1,0,21,0,21,6,13,1,20,0,1,0,1,1970,273,20,0,1,0,19611,1.100000023841858,20,1,19611,1.100000023841858,1970,20,1,93.80000305175781
2016,77,국립순천대학교,대학,국립,전남,B그룹,10,1,0,1,10,2,12,6,4,0,10,0,0,0,0,1083,34,10,1,0,1,8341,1.399999976158142,10,0,8341,1.2000000476837158,1083,11,1,90.30000305175781
2016,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.0,0,0,66,0.0,0,0,0,0.0
2016,79,국립창원대학교,대학,국립,경남,B그룹,12,1,0,0,12,1,13,2,9,1,12,0,0,0,0,888,26,12,1,0,0,10088,1.2999999523162842,12,0,10088,1.2000000476837158,888,13,0,68.30000305175781
2016,80,국립한국교통대학교,대학,국립,충북,B그룹,9,1,0,1,9,2,11,1,8,0,9,0,0,0,0,1169,26,9,1,0,1,9302,1.100000023841858,9,0,9302,1.0,1169,10,1,106.30000305175781
2016,81,국립한국해양대학교,대학,국립,부산,B그룹,12,0,0,0,12,0,12,6,6,0,12,0,0,0,0,789,175,12,0,0,0,7840,1.5,12,0,7840,1.5,789,12,0,65.80000305175781
2016,82,국립한밭대학교,대학,국립,대전,B그룹,7,1,1,1,8,2,10,1,3,3,7,0,1,0,1,707,16,7,1,1,1,8965,1.0,7,1,8965,0.8999999761581421,707,8,2,70.69999694824219
2016,83,국민대학교,대학,사립,서울,A그룹,11,0,10,15,21,15,36,5,5,1,11,0,10,0,10,712,107,11,0,10,15,18182,1.5,11,10,18182,1.2000000476837158,712,11,25,19.799999237060547
2016,84,국방대학교,기타,기타,충남,-,7,4,1,0,8,4,12,2,5,0,7,0,1,0,1,150,4,7,4,1,0,0,0.0,7,1,0,0.0,150,11,1,12.5
2016,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,1,1,0,0,0,267,3.700000047683716,1,0,267,3.700000047683716,5,1,0,5.0
2016,86,국제대학교,전문대학,사립,경기,B그룹,1,0,1,0,2,0,2,0,0,1,1,0,1,0,1,117,3,1,0,1,0,4289,0.4000000059604645,1,1,4289,0.5,117,1,1,58.5
2016,87,국제문화대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0.0,0,1,0,0.0
2016,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88,9.100000381469727,0,0,88,0.0,0,1,0,0.0
2016,89,국제사이버대학교,대학,사립,경기,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,20,2,0,2,0,0,2764,0.6000000238418579,0,0,2764,0.0,20,2,0,10.0
2016,90,국제언어대학원대학교,대학원대학,사립,서울,-,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,45,1,1,0,0,1,82,18.299999237060547,1,0,82,12.199999809265137,45,1,1,22.5
2016,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2016,92,군산간호대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,45,2,1,0,0,1,1112,1.2999999523162842,1,0,1112,0.8999999761581421,45,1,1,22.5
2016,93,군장대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,4,1,1,0,0,1,1918,0.800000011920929,1,0,1918,0.5,4,1,1,2.0
2016,94,극동대학교,대학,사립,충북,C그룹,1,3,2,0,3,3,6,0,1,0,1,0,2,0,2,31,12,1,3,2,0,4293,1.2000000476837158,1,2,4293,0.699999988079071,31,4,2,5.199999809265137
2016,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2133,0.800000011920929,0,0,2133,0.0,0,2,0,0.0
2016,96,금강대학교,대학,사립,충남,C그룹,2,0,1,0,3,0,3,1,1,0,2,0,1,0,1,4,1,2,0,1,0,548,5.099999904632568,2,1,548,5.5,4,2,1,1.2999999523162842
2016,97,기독간호대학교,전문대학,사립,광주,C그룹,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,10,2,0,0,1,0,637,1.2999999523162842,0,1,637,1.600000023841858,10,0,1,10.0
2016,98,김천대학교,대학,사립,경북,C그룹,2,3,1,1,3,4,7,0,2,0,2,0,1,0,1,96,25,2,3,1,1,3758,1.5,2,1,3758,0.800000011920929,96,5,2,13.699999809265137
2016,99,김포대학교,전문대학,사립,경기,C그룹,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,52,11,0,0,1,1,3331,0.4000000059604645,0,1,3331,0.30000001192092896,52,0,2,26.0
2016,100,김해대학교,전문대학,사립,경남,C그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,30,1,1,1,0,0,1378,1.2999999523162842,1,0,1378,0.699999988079071,30,2,0,15.0
2016,101,나사렛대학교,대학,사립,충남,B그룹,3,0,4,0,7,0,7,0,3,0,3,1,3,0,4,254,9,3,0,4,0,5861,1.100000023841858,3,4,5861,1.2000000476837158,254,3,4,36.29999923706055
2016,102,나주대학교,전문대학,사립,전남,C그룹,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2131,0.20000000298023224,0,0,2131,0.0,0,0,1,0.0
2016,103,남부대학교,대학,사립,광주,C그룹,2,2,0,0,2,2,4,0,2,0,2,0,0,0,0,69,5,2,2,0,0,3396,1.100000023841858,2,0,3396,0.6000000238418579,69,4,0,17.299999237060547
2016,104,남서울대학교,대학,사립,충남,B그룹,3,0,5,10,8,10,18,0,3,0,3,0,5,0,5,170,18,3,0,5,10,10310,1.2000000476837158,3,5,10310,0.800000011920929,170,3,15,9.399999618530273
2016,105,농협대학교,전문대학,사립,경기,C그룹,1,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,523,3.4000000953674316,1,0,523,1.899999976158142,0,2,0,0.0
2016,106,능인대학원대학교,대학원대학,사립,경기,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,1,1,0,0,0,72,13.899999618530273,1,0,72,13.899999618530273,5,1,0,5.0
2016,107,단국대학교,대학,사립,경기,A그룹,20,1,0,1,20,2,22,6,14,0,20,0,0,0,0,551,57,20,1,0,1,27070,0.800000011920929,20,0,27070,0.699999988079071,551,21,1,25.0
2016,108,대경대학교,전문대학,사립,경북,B그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,16,2,1,0,0,0,4276,0.20000000298023224,1,0,4276,0.20000000298023224,16,1,0,16.0
2016,109,대구가톨릭대학교,대학,사립,경북,A그룹,12,0,11,0,23,0,23,0,11,1,12,0,11,0,11,323,104,12,0,11,0,15341,1.399999976158142,12,11,15341,1.5,323,12,11,14.0
2016,110,대구경북과학기술원,대학,국립,대구,C그룹,1,0,3,0,4,0,4,0,1,0,1,0,3,0,3,43,12,1,0,3,0,911,3.700000047683716,1,3,911,4.400000095367432,43,1,3,10.800000190734863
2016,111,대구공업대학교,전문대학,사립,대구,C그룹,1,0,0,3,1,3,4,0,1,0,1,0,0,0,0,15,1,1,0,0,3,1879,1.2999999523162842,1,0,1879,0.5,15,1,3,3.799999952316284
2016,112,대구과학대학교,전문대학,사립,대구,A그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,34,1,1,1,0,0,4352,0.4000000059604645,1,0,4352,0.20000000298023224,34,2,0,17.0
2016,113,대구교육대학교,대학,국립,대구,C그룹,5,1,0,0,5,1,6,0,5,0,5,0,0,0,0,679,102,5,1,0,0,2718,2.0999999046325684,5,0,2718,1.7999999523162842,679,6,0,113.19999694824219
2016,114,대구대학교,대학,사립,경북,A그룹,12,3,6,8,18,11,29,2,10,0,12,0,6,0,6,832,142,12,3,6,8,20572,1.100000023841858,12,6,20572,0.8999999761581421,832,15,14,28.700000762939453
2016,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,760,0.699999988079071,0,0,760,0.0,0,0,1,0.0
2016,116,대구보건대학교,전문대학,사립,대구,A그룹,3,0,1,0,4,0,4,0,3,0,3,0,1,0,1,124,19,3,0,1,0,6858,0.6000000238418579,3,1,6858,0.6000000238418579,124,3,1,31.0
2016,117,대구사이버대학교,대학,사립,경북,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4382,0.4000000059604645,0,0,4382,0.0,0,2,0,0.0
2016,118,대구예술대학교,대학,사립,경북,C그룹,1,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1432,1.2999999523162842,1,0,1432,0.699999988079071,0,2,0,0.0
2016,119,대구외국어대학교,대학,사립,경북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,5,1,1,0,0,1,334,4.5,1,0,334,3.0,5,1,1,2.5
2016,120,대구한의대학교,대학,사립,경북,B그룹,4,2,3,0,7,2,9,0,4,0,4,0,3,0,3,249,27,4,2,3,0,7499,1.100000023841858,4,3,7499,0.8999999761581421,249,6,3,27.700000762939453
2016,121,대덕대학교,전문대학,사립,대전,C그룹,0,0,2,1,2,1,3,0,0,0,0,0,2,0,2,97,18,0,0,2,1,4266,0.5,0,2,4266,0.5,97,0,3,32.29999923706055
2016,122,대동대학교,전문대학,사립,부산,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,18,6,1,0,0,1,1590,0.8999999761581421,1,0,1590,0.6000000238418579,18,1,1,9.0
2016,123,대림대학교,전문대학,사립,경기,A그룹,2,1,1,0,3,1,4,0,2,0,2,0,1,0,1,279,26,2,1,1,0,6517,0.6000000238418579,2,1,6517,0.5,279,3,1,69.80000305175781
2016,124,대신대학교,대학,사립,경북,C그룹,2,0,0,1,2,1,3,0,1,1,2,0,0,0,0,43,7,2,0,0,1,493,5.099999904632568,2,0,493,4.099999904632568,43,2,1,14.300000190734863
2016,125,대원대학교,전문대학,사립,충북,C그룹,0,0,1,2,1,2,3,0,0,0,0,0,1,0,1,34,2,0,0,1,2,2667,0.699999988079071,0,1,2667,0.4000000059604645,34,0,3,11.300000190734863
